City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Cozumel,MX,89.67,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
82,Soyo,AO,80.65,few clouds,-6.1349,12.3689,Hotel Mpampa
84,La Orilla,MX,81.73,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
87,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
91,Erenhot,CN,75.94,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
96,Tateyama,JP,82.42,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
98,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
101,Ananas,HT,78.87,clear sky,19.2466,-71.9557,
102,Naze,JP,78.58,broken clouds,28.3667,129.4833,Amami Port Tower Hotel
108,Shenjiamen,CN,78.37,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
110,Angra Dos Reis,BR,80.56,clear sky,-23.0067,-44.3181,Mercure Angra dos Reis
113,Georgetown,MY,84.88,moderate rain,5.4112,100.3354,Cititel Penang
117,Owase,JP,79.11,overcast clouds,34.0667,136.2,Business Hotel Phoenix
119,Luba,GQ,78.69,moderate rain,3.4568,8.5547,
120,Chabahar,IR,82.65,clear sky,25.2919,60.643,هتل گدروشیا
123,Cabo San Lucas,MX,89.06,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
127,Olot,ES,83.37,scattered clouds,42.181,2.4901,Hotel Riu Fluvià
128,Yaan,NG,75.85,overcast clouds,7.3833,8.5667,
131,Nara,JP,85.28,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
137,Ashdod,IL,88.81,clear sky,31.8167,34.65,West All Suite Hotel Ashdod - מלון ווסט אשדוד
138,Zhezkazgan,KZ,76.01,clear sky,47.8043,67.7144,Hotel Zumrat
139,Podhum,BA,79.36,clear sky,43.7231,17.0011,"Gluvuše,Livno BiH"
144,Weymouth,US,83.8,broken clouds,42.2209,-70.9398,"Boston Motel Weymouth/Boston, MA"
146,Allapalli,IN,80.24,overcast clouds,19.4167,80.0667,Hotel IK Residency
147,Mantamados,GR,89.65,clear sky,39.3117,26.3339,Αρχοντικό Ζαχαριάδη
154,Bull Savanna,JM,85.14,few clouds,17.8868,-77.5902,Big Red's
155,Xapuri,BR,88.45,few clouds,-10.6517,-68.5044,Pousada dos Chapurys
162,Lorengau,PG,80.76,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
163,Norfolk,US,83.55,few clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
164,Griffith,US,85.89,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
168,Isla Mujeres,MX,87.85,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
169,Ugoofaaru,MV,81.61,overcast clouds,5.6667,73.0,Ungoofaaru Inn
170,Kalengwa,ZM,77.11,clear sky,-13.4659,25.0027,
175,Buala,SB,78.03,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
178,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
179,Lasa,IT,76.91,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
180,Mogadishu,SO,76.69,scattered clouds,2.0371,45.3438,Hotel Juba
182,Teguise,ES,77.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
188,Cocorit,MX,86.34,overcast clouds,27.5833,-109.9667,Kaba Motel
190,Puntarenas,CR,87.73,few clouds,9.9763,-84.8384,Michael's Surfside Hotel
