City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
92,Kendari,ID,-3.945,122.4989,73.76,92,25,0.96,scattered clouds,2021-08-08 15:41:22
93,Iqaluit,CA,63.7506,-68.5145,42.53,87,90,4.61,light rain,2021-08-08 15:31:38
94,Carnarvon,AU,-24.8667,113.6333,68.07,80,90,4.61,overcast clouds,2021-08-08 15:41:23
95,Raymond Terrace,AU,-32.75,151.75,57.11,93,90,0.0,overcast clouds,2021-08-08 15:41:23
96,Tateyama,JP,34.9833,139.8667,82.42,89,100,19.62,overcast clouds,2021-08-08 15:41:23
97,Pisco,PE,-13.7,-76.2167,63.01,77,90,2.3,smoke,2021-08-08 15:31:55
98,Kapaa,US,22.0752,-159.319,79.12,64,75,10.36,broken clouds,2021-08-08 15:39:24
99,San Andres,CO,12.5847,-81.7006,86.02,70,75,18.41,broken clouds,2021-08-08 15:32:31
100,Bambous Virieux,MU,-20.3428,57.7575,70.21,100,75,3.44,moderate rain,2021-08-08 15:41:24
101,Ananas,HT,19.2466,-71.9557,78.87,50,3,7.85,clear sky,2021-08-08 15:41:25
102,Naze,JP,28.3667,129.4833,78.58,86,62,18.77,broken clouds,2021-08-08 15:32:27
103,Dali,CN,25.7,100.1833,65.91,94,100,5.17,overcast clouds,2021-08-08 15:41:25
104,Tasiilaq,GL,65.6145,-37.6368,46.56,96,100,18.07,moderate rain,2021-08-08 15:41:25
105,Meiganga,CM,6.5167,14.3,69.4,90,100,3.87,overcast clouds,2021-08-08 15:41:26
106,Sambava,MG,-14.2667,50.1667,71.53,80,26,12.19,scattered clouds,2021-08-08 15:41:26
107,Bluff,NZ,-46.6,168.3333,32.81,65,63,14.03,light snow,2021-08-08 15:41:26
108,Shenjiamen,CN,29.9576,122.298,78.37,82,9,5.17,clear sky,2021-08-08 15:33:25
109,Sorland,NO,67.667,12.6934,60.66,71,98,12.59,overcast clouds,2021-08-08 15:32:47
110,Angra Dos Reis,BR,-23.0067,-44.3181,80.56,51,0,5.48,clear sky,2021-08-08 15:41:27
111,Busselton,AU,-33.65,115.3333,59.09,85,22,24.05,few clouds,2021-08-08 15:41:28
112,Kodiak,US,57.79,-152.4072,54.91,94,90,0.0,light rain,2021-08-08 15:32:03
113,Georgetown,MY,5.4112,100.3354,84.88,83,40,3.44,moderate rain,2021-08-08 15:31:34
114,Narsaq,GL,60.9167,-46.05,48.42,64,16,10.89,few clouds,2021-08-08 15:41:29
115,Khatanga,RU,71.9667,102.5,52.83,65,95,14.2,overcast clouds,2021-08-08 15:41:29
116,Chuy,UY,-33.6971,-53.4616,70.05,70,83,4.16,broken clouds,2021-08-08 15:41:29
117,Owase,JP,34.0667,136.2,79.11,87,100,5.12,overcast clouds,2021-08-08 15:41:30
118,Mareeba,AU,-17.0,145.4333,65.12,90,30,2.46,scattered clouds,2021-08-08 15:41:30
119,Luba,GQ,3.4568,8.5547,78.69,93,100,9.4,moderate rain,2021-08-08 15:41:30
120,Chabahar,IR,25.2919,60.643,82.65,81,3,7.25,clear sky,2021-08-08 15:41:30
121,Chokurdakh,RU,70.6333,147.9167,51.57,60,89,7.92,overcast clouds,2021-08-08 15:41:31
122,Lagoa,PT,39.05,-27.9833,71.69,82,88,17.29,overcast clouds,2021-08-08 15:41:31
123,Cabo San Lucas,MX,22.8909,-109.9124,89.06,72,1,0.0,clear sky,2021-08-08 15:41:21
124,Belaya Gora,RU,68.5333,146.4167,51.71,64,66,4.29,broken clouds,2021-08-08 15:32:50
125,Ahipara,NZ,-35.1667,173.1667,48.76,75,99,22.48,overcast clouds,2021-08-08 15:33:18
126,Komsomolskiy,UZ,40.4272,71.7189,90.32,29,0,4.61,clear sky,2021-08-08 15:34:00
127,Olot,ES,42.181,2.4901,83.37,33,36,1.99,scattered clouds,2021-08-08 15:41:33
128,Yaan,NG,7.3833,8.5667,75.85,84,100,9.35,overcast clouds,2021-08-08 15:41:33
129,Solnechnyy,RU,50.7214,136.6319,49.1,99,100,4.29,overcast clouds,2021-08-08 15:41:33
130,Lompoc,US,34.6391,-120.4579,58.68,97,90,0.0,mist,2021-08-08 15:41:34
131,Nara,JP,34.6851,135.8049,85.28,70,100,4.81,moderate rain,2021-08-08 15:41:34
132,Campbell River,CA,50.0163,-125.2446,62.26,91,20,1.01,few clouds,2021-08-08 15:41:34
133,Vila,PT,42.0304,-8.1588,70.7,49,13,6.78,few clouds,2021-08-08 15:41:34
134,Tyristrand,NO,60.0837,10.0966,72.57,57,59,4.38,broken clouds,2021-08-08 15:41:35
135,Gayny,RU,60.3071,54.3241,58.17,73,23,4.21,few clouds,2021-08-08 15:41:35
136,Naberera,TZ,-4.2,36.9333,66.15,52,91,11.34,overcast clouds,2021-08-08 15:41:36
137,Ashdod,IL,31.8167,34.65,88.81,63,0,8.37,clear sky,2021-08-08 15:41:36
138,Zhezkazgan,KZ,47.8043,67.7144,76.01,23,1,16.93,clear sky,2021-08-08 15:32:02
139,Podhum,BA,43.7231,17.0011,79.36,28,0,7.54,clear sky,2021-08-08 15:41:37
140,Provideniya,RU,64.3833,-173.3,44.46,86,100,13.58,overcast clouds,2021-08-08 15:33:06
141,Ancud,CL,-41.8697,-73.8203,52.43,64,1,5.12,clear sky,2021-08-08 15:31:53
142,Kaka,TM,37.3482,59.6143,95.94,12,0,5.48,clear sky,2021-08-08 15:41:37
143,Esperance,AU,-33.8667,121.9,62.44,78,3,15.01,clear sky,2021-08-08 15:41:38
144,Weymouth,US,42.2209,-70.9398,83.8,68,75,3.0,broken clouds,2021-08-08 15:41:38
145,Tiarei,PF,-17.5333,-149.3333,73.42,76,83,9.4,broken clouds,2021-08-08 15:41:38
146,Allapalli,IN,19.4167,80.0667,80.24,81,100,2.62,overcast clouds,2021-08-08 15:41:39
147,Mantamados,GR,39.3117,26.3339,89.65,38,0,7.25,clear sky,2021-08-08 15:41:39
148,Sitka,US,57.0531,-135.33,57.09,88,90,8.05,overcast clouds,2021-08-08 15:32:00
149,Bagdarin,RU,54.4333,113.6,55.99,99,100,0.54,light rain,2021-08-08 15:41:40
150,Umm Lajj,SA,25.0213,37.2685,93.33,45,0,5.12,clear sky,2021-08-08 15:32:20
151,Poum,NC,-20.2333,164.0167,69.12,70,95,22.19,overcast clouds,2021-08-08 15:41:40
